 2016-03-26 16:52:54 | [0 0 516.6085 504.23755 0.7107868 0 0 36.434387 0.6731086 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:52:55 | [0 0 516.6085 504.1202 0.7113488 0 0 35.88234 0.3533849 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:52:56 | [0 0 516.6085 504.01123 0.7122086 0 0 35.84941 0.61973 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:52:57 | [0 0 516.6085 503.88544 0.7133876 0 0 36.012985 0.71615714 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:52:58 | [0 0 516.6085 503.76807 0.71406096 0 0 35.836685 0.82507414 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:52:59 | [0 0 516.6085 503.6507 0.7120003 0 0 35.909393 0.5694275 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:00 | [0 0 516.6085 503.53333 0.71125466 0 0 36.096237 0.41577563 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:01 | [0 0 516.6085 503.4076 0.71228516 0 0 36.73996 0.27256483 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:02 | [0 0 516.6085 503.2818 0.71049756 0 0 36.16449 0.6091568 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:03 | [0 0 516.6085 503.17282 0.7071475 0 0 36.558838 0.5214445 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:04 | [0 0 516.6085 503.05545 0.7081022 0 0 36.5708 0.25409913 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:05 | [0 0 516.6085 502.9297 0.710694 0 0 36.394318 0.39631838 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:06 | [0 0 516.6085 502.81232 0.7128201 0 0 36.060074 0.6142893 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:07 | [0 0 516.6085 502.69492 0.7141088 0 0 35.748398 0.6181805 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:08 | [0 0 516.6085 502.57758 0.714782 0 0 36.110855 0.68075275 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:09 | [0 0 516.6085 502.4518 0.7151035 0 0 36.453064 0.98390925 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:10 | [0 0 516.6085 502.33447 0.715248 0 0 36.715363 1.0949401 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:11 | [0 0 516.6085 502.21707 0.71531016 0 0 36.626343 1.1561121 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:12 | [0 0 516.6085 502.0997 0.7153361 0 0 37.315186 1.0822153 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:13 | [0 0 516.6085 501.9823 0.7153466 0 0 35.875854 1.0728413 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:14 | [0 0 516.6085 501.84833 0.7145194 0 0 35.808167 1.3354704 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:15 | [0 0 516.6085 501.73105 0.7118818 0 0 37.65561 1.311704 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:16 | [0 0 516.6085 501.5958 0.7094262 0 0 37.912018 0.9985567 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:17 | [0 0 516.6085 501.4605 0.70893604 0 0 37.431824 0.5080265 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:18 | [0 0 516.6085 501.3433 0.7107636 0 0 36.543274 0.30644047 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:19 | [0 0 516.6085 501.217 0.7116661 0 0 37.70462 -0.08625471 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:20 | [0 0 516.6085 501.08173 0.71038425 0 0 36.770966 -0.36101115 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:21 | [0 0 516.6085 500.95547 0.71111804 0 0 38.847046 -0.24785121 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:22 | [0 0 516.6085 500.8202 0.7126608 0 0 38.49005 -0.1562913 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:23 | [0 0 516.6085 500.70297 0.7138959 0 0 37.254242 -0.1032248 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:24 | [0 0 516.6085 500.56766 0.71360505 0 0 37.93921 -0.066246465 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:25 | [0 0 516.6085 500.4414 0.7111802 0 0 37.79425 -0.12237559 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:26 | [0 0 516.6085 500.31516 0.7086016 0 0 37.91095 0.06674675 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:27 | [0 0 516.6085 500.1889 0.70650244 0 0 37.518494 -0.07632958 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:28 | [0 0 516.6085 500.05365 0.7072329 0 0 37.718353 -0.01722183 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:29 | [0 0 516.6085 499.92734 0.7095474 0 0 39.907288 0.034132686 0 17 499.5404 0 0 0 0 0 0 0 0] 
